numbr,serial_number,item_code,entry_date,batch_number,current_process,current_code,latest_movement_dt,current_location
6421,E6421,Checks D00001 Big Checks,2025-06-13,7,Kora,Kora Checks D00001 Big Checks,No Movement,
6420,E6420,Checks D00001 Big Checks,2025-06-13,7,Kora,Kora Checks D00001 Big Checks,No Movement,
6422,E6422,Checks D00001 Big Checks,2025-06-13,7,Kora,Kora Checks D00001 Big Checks,No Movement,
6441,E6441,Checks D00061 Flower Star,2025-06-13,7,Kora,Kora Checks D00061 Flower Star,No Movement,
6423,E6423,Plain D00014 Kalasa,2025-06-13,7,Kora,Kora Plain D00014 Kalasa,No Movement,
6424,E6424,Plain D00014 Kalasa,2025-06-13,7,Kora,Kora Plain D00014 Kalasa,No Movement,
6425,E6425,Plain D00014 Kalasa,2025-06-13,7,Kora,Kora Plain D00014 Kalasa,No Movement,
6426,E6426,Pallu Chx D00065 Small Pyramids,2025-06-13,7,Kora,Kora Pallu Chx D00065 Small Pyramids,No Movement,
6427,E6427,Pallu Chx D00065 Small Pyramids,2025-06-13,7,Kora,Kora Pallu Chx D00065 Small Pyramids,No Movement,
6428,E6428,Pallu Chx D00065 Small Pyramids,2025-06-13,7,Kora,Kora Pallu Chx D00065 Small Pyramids,No Movement,
6429,E6429,Pallu Chx D00065 Small Pyramids,2025-06-13,7,Kora,Kora Pallu Chx D00065 Small Pyramids,No Movement,
6430,E6430,Plain D00027 Diamond Checks,2025-06-13,7,Kora,Kora Plain D00027 Diamond Checks,No Movement,
6431,E6431,Plain D00027 Diamond Checks,2025-06-13,7,Kora,Kora Plain D00027 Diamond Checks,No Movement,
6432,E6432,Plain D00027 Diamond Checks,2025-06-13,7,Kora,Kora Plain D00027 Diamond Checks,No Movement,
6433,E6433,Plain D00027 Diamond Checks,2025-06-13,7,Kora,Kora Plain D00027 Diamond Checks,No Movement,
6434,E6434,Plain D00027 Diamond Checks,2025-06-13,7,Kora,Kora Plain D00027 Diamond Checks,No Movement,
6435,E6435,Plain D00027 Diamond Checks,2025-06-13,7,Kora,Kora Plain D00027 Diamond Checks,No Movement,
6436,E6436,Pallu Chx D00065 Small Pyramids,2025-06-13,7,Kora,Kora Pallu Chx D00065 Small Pyramids,No Movement,
6437,E6437,Pallu Chx D00066 Flower Border,2025-06-13,7,Kora,Kora Pallu Chx D00066 Flower Border,No Movement,
6438,E6438,Pallu Chx D00066 Flower Border,2025-06-13,7,Kora,Kora Pallu Chx D00066 Flower Border,No Movement,
6439,E6439,Pallu Chx D00066 Flower Border,2025-06-13,7,Kora,Kora Pallu Chx D00066 Flower Border,No Movement,
6440,E6440,Pallu Chx D00066 Flower Border,2025-06-13,7,Kora,Kora Pallu Chx D00066 Flower Border,No Movement,
6411,E6411,Pallu Chx D00066 Flower Border,2025-06-13,7,Kora,Kora Pallu Chx D00066 Flower Border,No Movement,
